120 | 120 g de sucre semoule | 120 | g | sucre semoule
dans | 2 morceaux de tomate sechee conservees dans l’huile facultatif | 2 |  | morceaux de tomate sechee conservees dans l’huile facultatif
l’huile | 2 morceaux de tomate sechee conservees dans l’huile facultatif | 2 |  | morceaux de tomate sechee conservees dans l’huile facultatif
facultatif | 2 morceaux de tomate sechee conservees dans l’huile facultatif | 2 |  | morceaux de tomate sechee conservees dans l’huile facultatif
2 | 2 poignees de persil frise ou plat | 2 |  | poignees de persil frise ou plat
poignees | 2 poignees de persil frise ou plat | 2 |  | poignees de persil frise ou plat
de | 2 poignees de persil frise ou plat | 2 |  | poignees de persil frise ou plat
persil | 2 poignees de persil frise ou plat | 2 |  | poignees de persil frise ou plat
frise | 2 poignees de persil frise ou plat | 2 |  | poignees de persil frise ou plat
ou | 2 poignees de persil frise ou plat | 2 |  | poignees de persil frise ou plat
plat | 2 poignees de persil frise ou plat | 2 |  | poignees de persil frise ou plat
4 | 4 cuilleres a soupe de chapelure | 4 | cuilleres a soupe | chapelure
cuilleres | 4 cuilleres a soupe de chapelure | 4 | cuilleres a soupe | chapelure
a | 4 cuilleres a soupe de chapelure | 4 | cuilleres a soupe | chapelure
soupe | 4 cuilleres a soupe de chapelure | 4 | cuilleres a soupe | chapelure
de | 4 cuilleres a soupe de chapelure | 4 | cuilleres a soupe | chapelure
chapelure | 4 cuilleres a soupe de chapelure | 4 | cuilleres a soupe | chapelure
2 | 2 cuilleres a soupe de beurre mou eventuellement margarine | 2 | cuilleres a soupe | beurre mou eventuellement margarine
cuilleres | 2 cuilleres a soupe de beurre mou eventuellement margarine | 2 | cuilleres a soupe | beurre mou eventuellement margarine
a | 2 cuilleres a soupe de beurre mou eventuellement margarine | 2 | cuilleres a soupe | beurre mou eventuellement margarine
soupe | 2 cuilleres a soupe de beurre mou eventuellement margarine | 2 | cuilleres a soupe | beurre mou eventuellement margarine
de | 2 cuilleres a soupe de beurre mou eventuellement margarine | 2 | cuilleres a soupe | beurre mou eventuellement margarine
beurre | 2 cuilleres a soupe de beurre mou eventuellement margarine | 2 | cuilleres a soupe | beurre mou eventuellement margarine
mou | 2 cuilleres a soupe de beurre mou eventuellement margarine | 2 | cuilleres a soupe | beurre mou eventuellement margarine
eventuellement | 2 cuilleres a soupe de beurre mou eventuellement margarine | 2 | cuilleres a soupe | beurre mou eventuellement margarine
margarine | 2 cuilleres a soupe de beurre mou eventuellement margarine | 2 | cuilleres a soupe | beurre mou eventuellement margarine
huile | huile d'olive |  |  | huile d'olive
d'olive | huile d'olive |  |  | huile d'olive
sel | sel |  |  | sel
poivre | poivre |  |  | poivre
400 | 400 g de merlan sans peau et sans aretes | 400 | g | merlan sans peau et sans aretes
g | 400 g de merlan sans peau et sans aretes | 400 | g | merlan sans peau et sans aretes
de | 400 g de merlan sans peau et sans aretes | 400 | g | merlan sans peau et sans aretes
merlan | 400 g de merlan sans peau et sans aretes | 400 | g | merlan sans peau et sans aretes
sans | 400 g de merlan sans peau et sans aretes | 400 | g | merlan sans peau et sans aretes
peau | 400 g de merlan sans peau et sans aretes | 400 | g | merlan sans peau et sans aretes
et | 400 g de merlan sans peau et sans aretes | 400 | g | merlan sans peau et sans aretes
sans | 400 g de merlan sans peau et sans aretes | 400 | g | merlan sans peau et sans aretes
aretes | 400 g de merlan sans peau et sans aretes | 400 | g | merlan sans peau et sans aretes
6 | 6 coquilles saint-jacques ou 12 petites | 6 |  | coquilles saint-jacques ou 12 petites
coquilles | 6 coquilles saint-jacques ou 12 petites | 6 |  | coquilles saint-jacques ou 12 petites
saint-jacques | 6 coquilles saint-jacques ou 12 petites | 6 |  | coquilles saint-jacques ou 12 petites
ou | 6 coquilles saint-jacques ou 12 petites | 6 |  | coquilles saint-jacques ou 12 petites
12 | 6 coquilles saint-jacques ou 12 petites | 6 |  | coquilles saint-jacques ou 12 petites
petites | 6 coquilles saint-jacques ou 12 petites | 6 |  | coquilles saint-jacques ou 12 petites
10 | 10 cl de creme fraiche | 10 | cl | creme fraiche
cl | 10 cl de creme fraiche | 10 | cl | creme fraiche
de | 10 cl de creme fraiche | 10 | cl | creme fraiche
creme | 10 cl de creme fraiche | 10 | cl | creme fraiche
fraiche | 10 cl de creme fraiche | 10 | cl | creme fraiche
2 | 2 oeufs | 2 |  | oeufs
oeufs | 2 oeufs | 2 |  | oeufs
3 | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil | 3 | cuilleres a soupe | herbes hachees ciboulette, persil, cerfeuil
cuilleres | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil | 3 | cuilleres a soupe | herbes hachees ciboulette, persil, cerfeuil
a | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil | 3 | cuilleres a soupe | herbes hachees ciboulette, persil, cerfeuil
soupe | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil | 3 | cuilleres a soupe | herbes hachees ciboulette, persil, cerfeuil
de | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil | 3 | cuilleres a soupe | herbes hachees ciboulette, persil, cerfeuil
herbes | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil | 3 | cuilleres a soupe | herbes hachees ciboulette, persil, cerfeuil
hachees | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil | 3 | cuilleres a soupe | herbes hachees ciboulette, persil, cerfeuil
ciboulette, | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil | 3 | cuilleres a soupe | herbes hachees ciboulette, persil, cerfeuil
persil, | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil | 3 | cuilleres a soupe | herbes hachees ciboulette, persil, cerfeuil
cerfeuil | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil | 3 | cuilleres a soupe | herbes hachees ciboulette, persil, cerfeuil
poivre | poivre |  |  | poivre
sel | sel |  |  | sel
1 | 1 cuilleres a cafe de moutarde | 1 | cuilleres a cafe | moutarde
cuilleres | 1 cuilleres a cafe de moutarde | 1 | cuilleres a cafe | moutarde
a | 1 cuilleres a cafe de moutarde | 1 | cuilleres a cafe | moutarde
cafe | 1 cuilleres a cafe de moutarde | 1 | cuilleres a cafe | moutarde
de | 1 cuilleres a cafe de moutarde | 1 | cuilleres a cafe | moutarde
moutarde | 1 cuilleres a cafe de moutarde | 1 | cuilleres a cafe | moutarde
6 | 6 cuilleres a soupe de creme fraiche | 6 | cuilleres a soupe | creme fraiche
cuilleres | 6 cuilleres a soupe de creme fraiche | 6 | cuilleres a soupe | creme fraiche
a | 6 cuilleres a soupe de creme fraiche | 6 | cuilleres a soupe | creme fraiche
soupe | 6 cuilleres a soupe de creme fraiche | 6 | cuilleres a soupe | creme fraiche
de | 6 cuilleres a soupe de creme fraiche | 6 | cuilleres a soupe | creme fraiche
creme | 6 cuilleres a soupe de creme fraiche | 6 | cuilleres a soupe | creme fraiche
fraiche | 6 cuilleres a soupe de creme fraiche | 6 | cuilleres a soupe | creme fraiche
75 | 75 g de beurre | 75 | g | beurre
g | 75 g de beurre | 75 | g | beurre
de | 75 g de beurre | 75 | g | beurre
beurre | 75 g de beurre | 75 | g | beurre
jus | jus de citron |  |  | jus de citron
de | jus de citron |  |  | jus de citron
citron | jus de citron |  |  | jus de citron
1 | 1 cuilleres a cafe de ciboulette | 1 | cuilleres a cafe | ciboulette
cuilleres | 1 cuilleres a cafe de ciboulette | 1 | cuilleres a cafe | ciboulette
a | 1 cuilleres a cafe de ciboulette | 1 | cuilleres a cafe | ciboulette
cafe | 1 cuilleres a cafe de ciboulette | 1 | cuilleres a cafe | ciboulette
de | 1 cuilleres a cafe de ciboulette | 1 | cuilleres a cafe | ciboulette
ciboulette | 1 cuilleres a cafe de ciboulette | 1 | cuilleres a cafe | ciboulette
poivre | poivre |  |  | poivre
sel | sel |  |  | sel
6 | 6  echalotes francaises, pelees et emincees | 6 |  | echalotes francaises, pelees et emincees
 | 6  echalotes francaises, pelees et emincees | 6 |  | echalotes francaises, pelees et emincees
echalotes | 6  echalotes francaises, pelees et emincees | 6 |  | echalotes francaises, pelees et emincees
francaises, | 6  echalotes francaises, pelees et emincees | 6 |  | echalotes francaises, pelees et emincees
pelees | 6  echalotes francaises, pelees et emincees | 6 |  | echalotes francaises, pelees et emincees
et | 6  echalotes francaises, pelees et emincees | 6 |  | echalotes francaises, pelees et emincees
emincees | 6  echalotes francaises, pelees et emincees | 6 |  | echalotes francaises, pelees et emincees
15 | 15 ml  1 c. a soupe d’huile vegetale | 15 | ml | 1 c. a soupe d’huile vegetale
ml | 15 ml  1 c. a soupe d’huile vegetale | 15 | ml | 1 c. a soupe d’huile vegetale
 | 15 ml  1 c. a soupe d’huile vegetale | 15 | ml | 1 c. a soupe d’huile vegetale
1 | 15 ml  1 c. a soupe d’huile vegetale | 15 | ml | 1 c. a soupe d’huile vegetale
c. | 15 ml  1 c. a soupe d’huile vegetale | 15 | ml | 1 c. a soupe d’huile vegetale
a | 15 ml  1 c. a soupe d’huile vegetale | 15 | ml | 1 c. a soupe d’huile vegetale
soupe | 15 ml  1 c. a soupe d’huile vegetale | 15 | ml | 1 c. a soupe d’huile vegetale
d’huile | 15 ml  1 c. a soupe d’huile vegetale | 15 | ml | 1 c. a soupe d’huile vegetale
vegetale | 15 ml  1 c. a soupe d’huile vegetale | 15 | ml | 1 c. a soupe d’huile vegetale
60 | 60 ml  1/4 tasse de pate de cari rouge | 60 | ml | 1/4 tasse de pate de cari rouge
ml | 60 ml  1/4 tasse de pate de cari rouge | 60 | ml | 1/4 tasse de pate de cari rouge
 | 60 ml  1/4 tasse de pate de cari rouge | 60 | ml | 1/4 tasse de pate de cari rouge
1/4 | 60 ml  1/4 tasse de pate de cari rouge | 60 | ml | 1/4 tasse de pate de cari rouge
tasse | 60 ml  1/4 tasse de pate de cari rouge | 60 | ml | 1/4 tasse de pate de cari rouge
de | 60 ml  1/4 tasse de pate de cari rouge | 60 | ml | 1/4 tasse de pate de cari rouge
pate | 60 ml  1/4 tasse de pate de cari rouge | 60 | ml | 1/4 tasse de pate de cari rouge
de | 60 ml  1/4 tasse de pate de cari rouge | 60 | ml | 1/4 tasse de pate de cari rouge
cari | 60 ml  1/4 tasse de pate de cari rouge | 60 | ml | 1/4 tasse de pate de cari rouge
rouge | 60 ml  1/4 tasse de pate de cari rouge | 60 | ml | 1/4 tasse de pate de cari rouge
45 | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
ml | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
 | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
3 | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
c. | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
a | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
soupe | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
de | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
jus | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
de | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
lime | 45 ml  3 c. a soupe de jus de lime | 45 | ml | 3 c. a soupe de jus de lime
30 | 30 ml  2 c. a soupe de cassonade | 30 | ml | 2 c. a soupe de cassonade
ml | 30 ml  2 c. a soupe de cassonade | 30 | ml | 2 c. a soupe de cassonade
 | 30 ml  2 c. a soupe de cassonade | 30 | ml | 2 c. a soupe de cassonade
2 | 30 ml  2 c. a soupe de cassonade | 30 | ml | 2 c. a soupe de cassonade
c. | 30 ml  2 c. a soupe de cassonade | 30 | ml | 2 c. a soupe de cassonade
a | 30 ml  2 c. a soupe de cassonade | 30 | ml | 2 c. a soupe de cassonade
soupe | 30 ml  2 c. a soupe de cassonade | 30 | ml | 2 c. a soupe de cassonade
de | 30 ml  2 c. a soupe de cassonade | 30 | ml | 2 c. a soupe de cassonade
cassonade | 30 ml  2 c. a soupe de cassonade | 30 | ml | 2 c. a soupe de cassonade
125 | 125 ml  1/2 tasse de lait de coco | 125 | ml | 1/2 tasse de lait de coco
ml | 125 ml  1/2 tasse de lait de coco | 125 | ml | 1/2 tasse de lait de coco
 | 125 ml  1/2 tasse de lait de coco | 125 | ml | 1/2 tasse de lait de coco
1/2 | 125 ml  1/2 tasse de lait de coco | 125 | ml | 1/2 tasse de lait de coco
tasse | 125 ml  1/2 tasse de lait de coco | 125 | ml | 1/2 tasse de lait de coco
de | 125 ml  1/2 tasse de lait de coco | 125 | ml | 1/2 tasse de lait de coco
lait | 125 ml  1/2 tasse de lait de coco | 125 | ml | 1/2 tasse de lait de coco
de | 125 ml  1/2 tasse de lait de coco | 125 | ml | 1/2 tasse de lait de coco
coco | 125 ml  1/2 tasse de lait de coco | 125 | ml | 1/2 tasse de lait de coco
2 | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
 | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
vivaneaux | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
entiers | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
de | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
450 | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
g | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
1 | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
lb | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
chacun, | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
ecailles | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
et | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
evides | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
 | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides  | 2 |  | vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides
450 | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
g | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
 | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
1 | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
lb | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
de | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
filets | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
de | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
poisson | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
blanc | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
sans | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
la | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
peau | 450 g  1 lb de filets de poisson blanc sans la peau | 450 | g | 1 lb de filets de poisson blanc sans la peau
1 | 1  oignon vert, hache grossierement | 1 |  | oignon vert, hache grossierement
 | 1  oignon vert, hache grossierement | 1 |  | oignon vert, hache grossierement
oignon | 1  oignon vert, hache grossierement | 1 |  | oignon vert, hache grossierement
vert, | 1  oignon vert, hache grossierement | 1 |  | oignon vert, hache grossierement
hache | 1  oignon vert, hache grossierement | 1 |  | oignon vert, hache grossierement
grossierement | 1  oignon vert, hache grossierement | 1 |  | oignon vert, hache grossierement
20 | 20 g  1/2 tasse de persil plat hache | 20 | g | 1/2 tasse de persil plat hache
g | 20 g  1/2 tasse de persil plat hache | 20 | g | 1/2 tasse de persil plat hache
 | 20 g  1/2 tasse de persil plat hache | 20 | g | 1/2 tasse de persil plat hache
1/2 | 20 g  1/2 tasse de persil plat hache | 20 | g | 1/2 tasse de persil plat hache
tasse | 20 g  1/2 tasse de persil plat hache | 20 | g | 1/2 tasse de persil plat hache
de | 20 g  1/2 tasse de persil plat hache | 20 | g | 1/2 tasse de persil plat hache
persil | 20 g  1/2 tasse de persil plat hache | 20 | g | 1/2 tasse de persil plat hache
plat | 20 g  1/2 tasse de persil plat hache | 20 | g | 1/2 tasse de persil plat hache
hache | 20 g  1/2 tasse de persil plat hache | 20 | g | 1/2 tasse de persil plat hache
1 | 1  citron, le zeste rape finement | 1 |  | citron, le zeste rape finement
 | 1  citron, le zeste rape finement | 1 |  | citron, le zeste rape finement
citron, | 1  citron, le zeste rape finement | 1 |  | citron, le zeste rape finement
le | 1  citron, le zeste rape finement | 1 |  | citron, le zeste rape finement
zeste | 1  citron, le zeste rape finement | 1 |  | citron, le zeste rape finement
rape | 1  citron, le zeste rape finement | 1 |  | citron, le zeste rape finement
finement | 1  citron, le zeste rape finement | 1 |  | citron, le zeste rape finement
60 | 60 g  1 tasse de chapelure panko | 60 | g | 1 tasse de chapelure panko
g | 60 g  1 tasse de chapelure panko | 60 | g | 1 tasse de chapelure panko
 | 60 g  1 tasse de chapelure panko | 60 | g | 1 tasse de chapelure panko
1 | 60 g  1 tasse de chapelure panko | 60 | g | 1 tasse de chapelure panko
tasse | 60 g  1 tasse de chapelure panko | 60 | g | 1 tasse de chapelure panko
de | 60 g  1 tasse de chapelure panko | 60 | g | 1 tasse de chapelure panko
chapelure | 60 g  1 tasse de chapelure panko | 60 | g | 1 tasse de chapelure panko
panko | 60 g  1 tasse de chapelure panko | 60 | g | 1 tasse de chapelure panko
1 | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
ml | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
 | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
1/4 | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
c. | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
a | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
the | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
de | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
flocons | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
de | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
piment | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
broyes | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
 | 1 ml  1/4 c. a the de flocons de piment broyes  | 1 | ml | 1/4 c. a the de flocons de piment broyes
1 | 1  œuf  | 1 |  | œuf
 | 1  œuf  | 1 |  | œuf
œuf | 1  œuf  | 1 |  | œuf
 | 1  œuf  | 1 |  | œuf
45 | 45 ml  3 c. a soupe d’huile vegetale | 45 | ml | 3 c. a soupe d’huile vegetale
ml | 45 ml  3 c. a soupe d’huile vegetale | 45 | ml | 3 c. a soupe d’huile vegetale
 | 45 ml  3 c. a soupe d’huile vegetale | 45 | ml | 3 c. a soupe d’huile vegetale
3 | 45 ml  3 c. a soupe d’huile vegetale | 45 | ml | 3 c. a soupe d’huile vegetale
c. | 45 ml  3 c. a soupe d’huile vegetale | 45 | ml | 3 c. a soupe d’huile vegetale
a | 45 ml  3 c. a soupe d’huile vegetale | 45 | ml | 3 c. a soupe d’huile vegetale
soupe | 45 ml  3 c. a soupe d’huile vegetale | 45 | ml | 3 c. a soupe d’huile vegetale
d’huile | 45 ml  3 c. a soupe d’huile vegetale | 45 | ml | 3 c. a soupe d’huile vegetale
vegetale | 45 ml  3 c. a soupe d’huile vegetale | 45 | ml | 3 c. a soupe d’huile vegetale
180 | 180 ml  3/4 tasse de yogourt nature | 180 | ml | 3/4 tasse de yogourt nature
ml | 180 ml  3/4 tasse de yogourt nature | 180 | ml | 3/4 tasse de yogourt nature
 | 180 ml  3/4 tasse de yogourt nature | 180 | ml | 3/4 tasse de yogourt nature
3/4 | 180 ml  3/4 tasse de yogourt nature | 180 | ml | 3/4 tasse de yogourt nature
tasse | 180 ml  3/4 tasse de yogourt nature | 180 | ml | 3/4 tasse de yogourt nature
de | 180 ml  3/4 tasse de yogourt nature | 180 | ml | 3/4 tasse de yogourt nature
yogourt | 180 ml  3/4 tasse de yogourt nature | 180 | ml | 3/4 tasse de yogourt nature
nature | 180 ml  3/4 tasse de yogourt nature | 180 | ml | 3/4 tasse de yogourt nature
180 | 180 ml  3/4 tasse d’houmous | 180 | ml | 3/4 tasse d’houmous
ml | 180 ml  3/4 tasse d’houmous | 180 | ml | 3/4 tasse d’houmous
 | 180 ml  3/4 tasse d’houmous | 180 | ml | 3/4 tasse d’houmous
3/4 | 180 ml  3/4 tasse d’houmous | 180 | ml | 3/4 tasse d’houmous
tasse | 180 ml  3/4 tasse d’houmous | 180 | ml | 3/4 tasse d’houmous
d’houmous | 180 ml  3/4 tasse d’houmous | 180 | ml | 3/4 tasse d’houmous
15 | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
ml | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
 | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
1 | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
c. | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
a | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
soupe | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
de | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
jus | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
de | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
citron | 15 ml  1 c. a soupe de jus de citron | 15 | ml | 1 c. a soupe de jus de citron
4 | 4  pains pitas, chacun coupes en deux  | 4 |  | pains pitas, chacun coupes en deux
 | 4  pains pitas, chacun coupes en deux  | 4 |  | pains pitas, chacun coupes en deux
pains | 4  pains pitas, chacun coupes en deux  | 4 |  | pains pitas, chacun coupes en deux
pitas, | 4  pains pitas, chacun coupes en deux  | 4 |  | pains pitas, chacun coupes en deux
chacun | 4  pains pitas, chacun coupes en deux  | 4 |  | pains pitas, chacun coupes en deux
coupes | 4  pains pitas, chacun coupes en deux  | 4 |  | pains pitas, chacun coupes en deux
en | 4  pains pitas, chacun coupes en deux  | 4 |  | pains pitas, chacun coupes en deux
deux | 4  pains pitas, chacun coupes en deux  | 4 |  | pains pitas, chacun coupes en deux
 | 4  pains pitas, chacun coupes en deux  | 4 |  | pains pitas, chacun coupes en deux
200 | 200 g  4 tasses de laitue emincee  | 200 | g | 4 tasses de laitue emincee
g | 200 g  4 tasses de laitue emincee  | 200 | g | 4 tasses de laitue emincee
 | 200 g  4 tasses de laitue emincee  | 200 | g | 4 tasses de laitue emincee
4 | 200 g  4 tasses de laitue emincee  | 200 | g | 4 tasses de laitue emincee
tasses | 200 g  4 tasses de laitue emincee  | 200 | g | 4 tasses de laitue emincee
de | 200 g  4 tasses de laitue emincee  | 200 | g | 4 tasses de laitue emincee
laitue | 200 g  4 tasses de laitue emincee  | 200 | g | 4 tasses de laitue emincee
emincee | 200 g  4 tasses de laitue emincee  | 200 | g | 4 tasses de laitue emincee
 | 200 g  4 tasses de laitue emincee  | 200 | g | 4 tasses de laitue emincee
2 | 2  concombres libanais, coupes en rubans | 2 |  | concombres libanais, coupes en rubans
 | 2  concombres libanais, coupes en rubans | 2 |  | concombres libanais, coupes en rubans
concombres | 2  concombres libanais, coupes en rubans | 2 |  | concombres libanais, coupes en rubans
libanais, | 2  concombres libanais, coupes en rubans | 2 |  | concombres libanais, coupes en rubans
coupes | 2  concombres libanais, coupes en rubans | 2 |  | concombres libanais, coupes en rubans
en | 2  concombres libanais, coupes en rubans | 2 |  | concombres libanais, coupes en rubans
rubans | 2  concombres libanais, coupes en rubans | 2 |  | concombres libanais, coupes en rubans
1 | 1 kg de tomate | 1 | kg | tomate
kg | 1 kg de tomate | 1 | kg | tomate
de | 1 kg de tomate | 1 | kg | tomate
tomate | 1 kg de tomate | 1 | kg | tomate
3 | 3 poivrons verts | 3 |  | poivrons verts
poivrons | 3 poivrons verts | 3 |  | poivrons verts
verts | 3 poivrons verts | 3 |  | poivrons verts
2 | 2 branches de basilic | 2 |  | branches de basilic
branches | 2 branches de basilic | 2 |  | branches de basilic
de | 2 branches de basilic | 2 |  | branches de basilic
basilic | 2 branches de basilic | 2 |  | branches de basilic
1 | 1 poireaux | 1 |  | poireaux
poireaux | 1 poireaux | 1 |  | poireaux
3 | 3 oignons | 3 |  | oignons
oignons | 3 oignons | 3 |  | oignons
3 | 3 gousses d'ail | 3 |  | gousses d'ail
gousses | 3 gousses d'ail | 3 |  | gousses d'ail
d'ail | 3 gousses d'ail | 3 |  | gousses d'ail
1/2 | 1/2 verres d'huile d'olive | 1 |  | /2 verres d'huile d'olive
verres | 1/2 verres d'huile d'olive | 1 |  | /2 verres d'huile d'olive
d'huile | 1/2 verres d'huile d'olive | 1 |  | /2 verres d'huile d'olive
d'olive | 1/2 verres d'huile d'olive | 1 |  | /2 verres d'huile d'olive
1/2 | 1/2 cuilleres a cafe de celeri | 1 |  | /2 cuilleres a cafe de celeri
cuilleres | 1/2 cuilleres a cafe de celeri | 1 |  | /2 cuilleres a cafe de celeri
a | 1/2 cuilleres a cafe de celeri | 1 |  | /2 cuilleres a cafe de celeri
cafe | 1/2 cuilleres a cafe de celeri | 1 |  | /2 cuilleres a cafe de celeri
de | 1/2 cuilleres a cafe de celeri | 1 |  | /2 cuilleres a cafe de celeri
celeri | 1/2 cuilleres a cafe de celeri | 1 |  | /2 cuilleres a cafe de celeri
1 | 1 cuilleres a cafe de curcuma | 1 | cuilleres a cafe | curcuma
