120 | 120 g de sucre semoule @ QUANTITY
de | 625 ml  2 1/2 tasses de bouillon de poulet @ NONE
poulet | 625 ml  2 1/2 tasses de bouillon de poulet @ INGREDIENT
1 | 1  concombre anglais non pele, coupe en 3 troncons @ QUANTITY
 | 1  concombre anglais non pele, coupe en 3 troncons @ NONE
concombre | 1  concombre anglais non pele, coupe en 3 troncons @ INGREDIENT
anglais | 1  concombre anglais non pele, coupe en 3 troncons @ INGREDIENT
non | 1  concombre anglais non pele, coupe en 3 troncons @ NONE
pele, | 1  concombre anglais non pele, coupe en 3 troncons @ NONE
coupe | 1  concombre anglais non pele, coupe en 3 troncons @ NONE
en | 1  concombre anglais non pele, coupe en 3 troncons @ NONE
3 | 1  concombre anglais non pele, coupe en 3 troncons @ NONE
troncons | 1  concombre anglais non pele, coupe en 3 troncons @ NONE
 | 1  concombre anglais non pele, coupe en 3 troncons @ NONE
1 | 1  poivron jaune, epepine et coupe en des @ QUANTITY
 | 1  poivron jaune, epepine et coupe en des @ NONE
poivron | 1  poivron jaune, epepine et coupe en des @ INGREDIENT
jaune, | 1  poivron jaune, epepine et coupe en des @ INGREDIENT
epepine | 1  poivron jaune, epepine et coupe en des @ NONE
et | 1  poivron jaune, epepine et coupe en des @ NONE
coupe | 1  poivron jaune, epepine et coupe en des @ NONE
en | 1  poivron jaune, epepine et coupe en des @ NONE
des | 1  poivron jaune, epepine et coupe en des @ NONE
6 | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ QUANTITY
 | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ NONE
oignons | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ INGREDIENT
verts, | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ INGREDIENT
coupes | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ NONE
en | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ NONE
troncons | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ NONE
de | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ NONE
1 | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ NONE
cm | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ NONE
1/2 | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ NONE
po | 6  oignons verts, coupes en troncons de 1 cm 1/2 po @ NONE
40 | 40 g  3 c. a soupe de beurre @ QUANTITY
g | 40 g  3 c. a soupe de beurre @ UNIT
 | 40 g  3 c. a soupe de beurre @ NONE
3 | 40 g  3 c. a soupe de beurre @ NONE
c. | 40 g  3 c. a soupe de beurre @ NONE
a | 40 g  3 c. a soupe de beurre @ NONE
soupe | 40 g  3 c. a soupe de beurre @ NONE
de | 40 g  3 c. a soupe de beurre @ NONE
beurre | 40 g  3 c. a soupe de beurre @ INGREDIENT
500 | 500 ml  2 tasses de bouillon de poulet @ QUANTITY
ml | 500 ml  2 tasses de bouillon de poulet @ UNIT
 | 500 ml  2 tasses de bouillon de poulet @ NONE
2 | 500 ml  2 tasses de bouillon de poulet @ NONE
tasses | 500 ml  2 tasses de bouillon de poulet @ NONE
de | 500 ml  2 tasses de bouillon de poulet @ NONE
bouillon | 500 ml  2 tasses de bouillon de poulet @ INGREDIENT
de | 500 ml  2 tasses de bouillon de poulet @ NONE
poulet | 500 ml  2 tasses de bouillon de poulet @ INGREDIENT
140 | 140 g  1 tasse de tomates cerises, coupees en deux @ QUANTITY
g | 140 g  1 tasse de tomates cerises, coupees en deux @ UNIT
 | 140 g  1 tasse de tomates cerises, coupees en deux @ NONE
1 | 140 g  1 tasse de tomates cerises, coupees en deux @ NONE
tasse | 140 g  1 tasse de tomates cerises, coupees en deux @ NONE
de | 140 g  1 tasse de tomates cerises, coupees en deux @ NONE
tomates | 140 g  1 tasse de tomates cerises, coupees en deux @ INGREDIENT
cerises | 140 g  1 tasse de tomates cerises, coupees en deux @ INGREDIENT
coupees | 140 g  1 tasse de tomates cerises, coupees en deux @ NONE
en | 140 g  1 tasse de tomates cerises, coupees en deux @ NONE
deux | 140 g  1 tasse de tomates cerises, coupees en deux @ NONE
450 | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ QUANTITY
g | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ UNIT
 | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
1 | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
lb | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
de | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
filets | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
de | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
poisson | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ INGREDIENT
blanc | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ INGREDIENT
sans | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
la | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
peau, | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
coupes | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
en | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
gros | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
morceaux | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
 | 450 g  1 lb de filets de poisson blanc sans la peau, coupes en gros morceaux @ NONE
4 | 4 filets de poisson blanc charnus dos de cabillaud @ QUANTITY
filets | 4 filets de poisson blanc charnus dos de cabillaud @ NONE
de | 4 filets de poisson blanc charnus dos de cabillaud @ NONE
poisson | 4 filets de poisson blanc charnus dos de cabillaud @ INGREDIENT
blanc | 4 filets de poisson blanc charnus dos de cabillaud @ INGREDIENT
charnus | 4 filets de poisson blanc charnus dos de cabillaud @ NONE
dos | 4 filets de poisson blanc charnus dos de cabillaud @ NONE
de | 4 filets de poisson blanc charnus dos de cabillaud @ NONE
cabillaud | 4 filets de poisson blanc charnus dos de cabillaud @ INGREDIENT
2 | 2 tomates moyennes @ QUANTITY
tomates | 2 tomates moyennes @ INGREDIENT
moyennes | 2 tomates moyennes @ NONE
2 | 2 morceaux de tomate sechee conservees dans l'huile facultatif @ QUANTITY
morceaux | 2 morceaux de tomate sechee conservees dans l'huile facultatif @ NONE
de | 2 morceaux de tomate sechee conservees dans l'huile facultatif @ NONE
tomate | 2 morceaux de tomate sechee conservees dans l'huile facultatif @ INGREDIENT
sechee | 2 morceaux de tomate sechee conservees dans l'huile facultatif @ INGREDIENT
conservees | 2 morceaux de tomate sechee conservees dans l'huile facultatif @ NONE
dans | 2 morceaux de tomate sechee conservees dans l'huile facultatif @ NONE
l'huile | 2 morceaux de tomate sechee conservees dans l'huile facultatif @ NONE
facultatif | 2 morceaux de tomate sechee conservees dans l'huile facultatif @ NONE
2 | 2 poignees de persil frise ou plat @ QUANTITY
poignees | 2 poignees de persil frise ou plat @ NONE
de | 2 poignees de persil frise ou plat @ NONE
persil | 2 poignees de persil frise ou plat @ INGREDIENT
frise | 2 poignees de persil frise ou plat @ NONE
ou | 2 poignees de persil frise ou plat @ NONE
plat | 2 poignees de persil frise ou plat @ NONE
4 | 4 cuilleres a soupe de chapelure @ QUANTITY
cuilleres | 4 cuilleres a soupe de chapelure @ UNIT
a | 4 cuilleres a soupe de chapelure @ UNIT
soupe | 4 cuilleres a soupe de chapelure @ UNIT
de | 4 cuilleres a soupe de chapelure @ NONE
chapelure | 4 cuilleres a soupe de chapelure @ INGREDIENT
2 | 2 cuilleres a soupe de beurre mou eventuellement margarine @ QUANTITY
cuilleres | 2 cuilleres a soupe de beurre mou eventuellement margarine @ UNIT
a | 2 cuilleres a soupe de beurre mou eventuellement margarine @ UNIT
soupe | 2 cuilleres a soupe de beurre mou eventuellement margarine @ UNIT
de | 2 cuilleres a soupe de beurre mou eventuellement margarine @ NONE
beurre | 2 cuilleres a soupe de beurre mou eventuellement margarine @ INGREDIENT
mou | 2 cuilleres a soupe de beurre mou eventuellement margarine @ NONE
eventuellement | 2 cuilleres a soupe de beurre mou eventuellement margarine @ NONE
margarine | 2 cuilleres a soupe de beurre mou eventuellement margarine @ NONE
huile | huile d'olive @ INGREDIENT
d' | huile d'olive @ NONE
olive | huile d'olive @ NONE
sel | sel @ INGREDIENT
poivre | poivre @ INGREDIENT
400 | 400 g de merlan sans peau et sans aretes @ QUANTITY
g | 400 g de merlan sans peau et sans aretes @ UNIT
de | 400 g de merlan sans peau et sans aretes @ NONE
merlan | 400 g de merlan sans peau et sans aretes @ INGREDIENT
sans | 400 g de merlan sans peau et sans aretes @ NONE
peau | 400 g de merlan sans peau et sans aretes @ NONE
et | 400 g de merlan sans peau et sans aretes @ NONE
sans | 400 g de merlan sans peau et sans aretes @ NONE
aretes | 400 g de merlan sans peau et sans aretes @ NONE
6 | 6 coquilles saint-jacques ou 12 petites @ QUANTITY
coquilles | 6 coquilles saint-jacques ou 12 petites @ INGREDIENT
saint-jacques | 6 coquilles saint-jacques ou 12 petites @ INGREDIENT
ou | 6 coquilles saint-jacques ou 12 petites @ NONE
12 | 6 coquilles saint-jacques ou 12 petites @ NONE
petites | 6 coquilles saint-jacques ou 12 petites @ NONE
10 | 10 cl de creme fraiche @ QUANTITY
cl | 10 cl de creme fraiche @ UNIT
de | 10 cl de creme fraiche @ NONE
creme | 10 cl de creme fraiche @ INGREDIENT
fraiche | 10 cl de creme fraiche @ NONE
2 | 2 oeufs @ QUANTITY
oeufs | 2 oeufs @ INGREDIENT
3 | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil @ QUANTITY
cuilleres | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil @ UNIT
a | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil @ UNIT
soupe | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil @ UNIT
de | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil @ NONE
herbes | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil @ INGREDIENT
hachees | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil @ NONE
ciboulette, | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil @ NONE
persil, | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil @ NONE
cerfeuil | 3 cuilleres a soupe de herbes hachees ciboulette, persil, cerfeuil @ NONE
poivre | poivre @ INGREDIENT
sel | sel @ INGREDIENT
1 | 1 cuilleres a cafe de moutarde @ QUANTITY
cuilleres | 1 cuilleres a cafe de moutarde @ UNIT
a | 1 cuilleres a cafe de moutarde @ UNIT
cafe | 1 cuilleres a cafe de moutarde @ UNIT
de | 1 cuilleres a cafe de moutarde @ NONE
moutarde | 1 cuilleres a cafe de moutarde @ INGREDIENT
6 | 6 cuilleres a soupe de creme fraiche @ QUANTITY
cuilleres | 6 cuilleres a soupe de creme fraiche @ UNIT
a | 6 cuilleres a soupe de creme fraiche @ UNIT
soupe | 6 cuilleres a soupe de creme fraiche @ UNIT
de | 6 cuilleres a soupe de creme fraiche @ NONE
creme | 6 cuilleres a soupe de creme fraiche @ INGREDIENT
fraiche | 6 cuilleres a soupe de creme fraiche @ NONE
75 | 75 g de beurre @ QUANTITY
g | 75 g de beurre @ UNIT
de | 75 g de beurre @ NONE
beurre | 75 g de beurre @ INGREDIENT
jus | jus de citron @ NONE
de | jus de citron @ NONE
citron | jus de citron @ INGREDIENT
1 | 1 cuilleres a cafe de ciboulette @ QUANTITY
cuilleres | 1 cuilleres a cafe de ciboulette @ UNIT
a | 1 cuilleres a cafe de ciboulette @ UNIT
cafe | 1 cuilleres a cafe de ciboulette @ UNIT
de | 1 cuilleres a cafe de ciboulette @ NONE
ciboulette | 1 cuilleres a cafe de ciboulette @ INGREDIENT
poivre | poivre @ INGREDIENT
sel | sel @ INGREDIENT
6 | 6  echalotes francaises, pelees et emincees @ QUANTITY
 | 6  echalotes francaises, pelees et emincees @ NONE
echalotes | 6  echalotes francaises, pelees et emincees @ INGREDIENT
francaises, | 6  echalotes francaises, pelees et emincees @ NONE
pelees | 6  echalotes francaises, pelees et emincees @ NONE
et | 6  echalotes francaises, pelees et emincees @ NONE
emincees | 6  echalotes francaises, pelees et emincees @ NONE
15 | 15 ml  1 c. a soupe d'huile vegetale @ QUANTITY
ml | 15 ml  1 c. a soupe d'huile vegetale @ UNIT
 | 15 ml  1 c. a soupe d'huile vegetale @ NONE
1 | 15 ml  1 c. a soupe d'huile vegetale @ NONE
c. | 15 ml  1 c. a soupe d'huile vegetale @ NONE
a | 15 ml  1 c. a soupe d'huile vegetale @ NONE
soupe | 15 ml  1 c. a soupe d'huile vegetale @ NONE
d' | 15 ml  1 c. a soupe d'huile vegetale @ NONE
huile | 15 ml  1 c. a soupe d'huile vegetale @ INGREDIENT
vegetale | 15 ml  1 c. a soupe d'huile vegetale @ NONE
60 | 60 ml  1/4 tasse de pate de cari rouge @ QUANTITY
ml | 60 ml  1/4 tasse de pate de cari rouge @ UNIT
 | 60 ml  1/4 tasse de pate de cari rouge @ NONE
1/4 | 60 ml  1/4 tasse de pate de cari rouge @ NONE
tasse | 60 ml  1/4 tasse de pate de cari rouge @ NONE
de | 60 ml  1/4 tasse de pate de cari rouge @ NONE
pate | 60 ml  1/4 tasse de pate de cari rouge @ NONE
de | 60 ml  1/4 tasse de pate de cari rouge @ NONE
cari | 60 ml  1/4 tasse de pate de cari rouge @ INGREDIENT
rouge | 60 ml  1/4 tasse de pate de cari rouge @ INGREDIENT
45 | 45 ml  3 c. a soupe de jus de lime @ QUANTITY
ml | 45 ml  3 c. a soupe de jus de lime @ UNIT
 | 45 ml  3 c. a soupe de jus de lime @ NONE
3 | 45 ml  3 c. a soupe de jus de lime @ NONE
c. | 45 ml  3 c. a soupe de jus de lime @ NONE
a | 45 ml  3 c. a soupe de jus de lime @ NONE
soupe | 45 ml  3 c. a soupe de jus de lime @ NONE
de | 45 ml  3 c. a soupe de jus de lime @ NONE
jus | 45 ml  3 c. a soupe de jus de lime @ INGREDIENT
de | 45 ml  3 c. a soupe de jus de lime @ NONE
lime | 45 ml  3 c. a soupe de jus de lime @ INGREDIENT
30 | 30 ml  2 c. a soupe de cassonade @ QUANTITY
ml | 30 ml  2 c. a soupe de cassonade @ UNIT
 | 30 ml  2 c. a soupe de cassonade @ NONE
2 | 30 ml  2 c. a soupe de cassonade @ NONE
c. | 30 ml  2 c. a soupe de cassonade @ NONE
a | 30 ml  2 c. a soupe de cassonade @ NONE
soupe | 30 ml  2 c. a soupe de cassonade @ NONE
de | 30 ml  2 c. a soupe de cassonade @ NONE
cassonade | 30 ml  2 c. a soupe de cassonade @ INGREDIENT
125 | 125 ml  1/2 tasse de lait de coco @ QUANTITY
ml | 125 ml  1/2 tasse de lait de coco @ UNIT
 | 125 ml  1/2 tasse de lait de coco @ NONE
1/2 | 125 ml  1/2 tasse de lait de coco @ NONE
tasse | 125 ml  1/2 tasse de lait de coco @ NONE
de | 125 ml  1/2 tasse de lait de coco @ NONE
lait | 125 ml  1/2 tasse de lait de coco @ INGREDIENT
de | 125 ml  1/2 tasse de lait de coco @ NONE
coco | 125 ml  1/2 tasse de lait de coco @ INGREDIENT
2 | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ QUANTITY
 | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
vivaneaux | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ INGREDIENT
entiers | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
de | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
450 | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
g | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
1 | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
lb | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
chacun, | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
ecailles | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
et | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
evides | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
 | 2  vivaneaux entiers de 450 g 1 lb chacun, ecailles et evides @ NONE
450 | 450 g  1 lb de filets de poisson blanc sans la peau @ QUANTITY
g | 450 g  1 lb de filets de poisson blanc sans la peau @ UNIT
 | 450 g  1 lb de filets de poisson blanc sans la peau @ NONE
1 | 450 g  1 lb de filets de poisson blanc sans la peau @ NONE
lb | 450 g  1 lb de filets de poisson blanc sans la peau @ NONE
de | 450 g  1 lb de filets de poisson blanc sans la peau @ NONE
filets | 450 g  1 lb de filets de poisson blanc sans la peau @ NONE
de | 450 g  1 lb de filets de poisson blanc sans la peau @ NONE
poisson | 450 g  1 lb de filets de poisson blanc sans la peau @ INGREDIENT
blanc | 450 g  1 lb de filets de poisson blanc sans la peau @ INGREDIENT
sans | 450 g  1 lb de filets de poisson blanc sans la peau @ NONE
la | 450 g  1 lb de filets de poisson blanc sans la peau @ NONE
peau | 450 g  1 lb de filets de poisson blanc sans la peau @ NONE
1 | 1  oignon vert, hache grossierement @ QUANTITY
 | 1  oignon vert, hache grossierement @ NONE
oignon | 1  oignon vert, hache grossierement @ INGREDIENT
vert | 1  oignon vert, hache grossierement @ INGREDIENT
hache | 1  oignon vert, hache grossierement @ NONE
grossierement | 1  oignon vert, hache grossierement @ NONE
20 | 20 g  1/2 tasse de persil plat hache @ QUANTITY
g | 20 g  1/2 tasse de persil plat hache @ UNIT
 | 20 g  1/2 tasse de persil plat hache @ NONE
1/2 | 20 g  1/2 tasse de persil plat hache @ NONE
tasse | 20 g  1/2 tasse de persil plat hache @ NONE
de | 20 g  1/2 tasse de persil plat hache @ NONE
persil | 20 g  1/2 tasse de persil plat hache @ INGREDIENT
plat | 20 g  1/2 tasse de persil plat hache @ INGREDIENT
hache | 20 g  1/2 tasse de persil plat hache @ NONE
1 | 1  citron, le zeste rape finement @ QUANTITY
 | 1  citron, le zeste rape finement @ NONE
citron, | 1  citron, le zeste rape finement @ INGREDIENT
le | 1  citron, le zeste rape finement @ NONE
zeste | 1  citron, le zeste rape finement @ NONE
rape | 1  citron, le zeste rape finement @ NONE
finement | 1  citron, le zeste rape finement @ NONE
60 | 60 g  1 tasse de chapelure panko @ QUANTITY
g | 60 g  1 tasse de chapelure panko @ UNIT
 | 60 g  1 tasse de chapelure panko @ NONE
1 | 60 g  1 tasse de chapelure panko @ NONE
tasse | 60 g  1 tasse de chapelure panko @ NONE
de | 60 g  1 tasse de chapelure panko @ NONE
chapelure | 60 g  1 tasse de chapelure panko @ INGREDIENT
panko | 60 g  1 tasse de chapelure panko @ INGREDIENT
1 | 1 ml  1/4 c. a the de flocons de piment broyes @ QUANTITY
ml | 1 ml  1/4 c. a the de flocons de piment broyes @ UNIT
 | 1 ml  1/4 c. a the de flocons de piment broyes @ NONE
1/4 | 1 ml  1/4 c. a the de flocons de piment broyes @ NONE
c. | 1 ml  1/4 c. a the de flocons de piment broyes @ NONE
a | 1 ml  1/4 c. a the de flocons de piment broyes @ NONE
the | 1 ml  1/4 c. a the de flocons de piment broyes @ NONE
de | 1 ml  1/4 c. a the de flocons de piment broyes @ NONE
flocons | 1 ml  1/4 c. a the de flocons de piment broyes @ NONE
de | 1 ml  1/4 c. a the de flocons de piment broyes @ NONE
piment | 1 ml  1/4 c. a the de flocons de piment broyes @ INGREDIENT
broyes | 1 ml  1/4 c. a the de flocons de piment broyes @ NONE
 | 1 ml  1/4 c. a the de flocons de piment broyes @ NONE
1 | 1  œuf @ QUANTITY
 | 1  œuf @ NONE
œuf | 1  œuf @ INGREDIENT
 | 1  œuf @ NONE
45 | 45 ml  3 c. a soupe d'huile vegetale @ QUANTITY
ml | 45 ml  3 c. a soupe d'huile vegetale @ UNIT
 | 45 ml  3 c. a soupe d'huile vegetale @ NONE
3 | 45 ml  3 c. a soupe d'huile vegetale @ NONE
c. | 45 ml  3 c. a soupe d'huile vegetale @ NONE
a | 45 ml  3 c. a soupe d'huile vegetale @ NONE
soupe | 45 ml  3 c. a soupe d'huile vegetale @ NONE
d' | 45 ml  3 c. a soupe d'huile vegetale @ NONE
huile | 45 ml  3 c. a soupe d'huile vegetale @ INGREDIENT
vegetale | 45 ml  3 c. a soupe d'huile vegetale @ NONE
180 | 180 ml  3/4 tasse de yogourt nature @ QUANTITY
ml | 180 ml  3/4 tasse de yogourt nature @ UNIT
 | 180 ml  3/4 tasse de yogourt nature @ NONE
3/4 | 180 ml  3/4 tasse de yogourt nature @ NONE
tasse | 180 ml  3/4 tasse de yogourt nature @ NONE
de | 180 ml  3/4 tasse de yogourt nature @ NONE
yogourt | 180 ml  3/4 tasse de yogourt nature @ INGREDIENT
nature | 180 ml  3/4 tasse de yogourt nature @ INGREDIENT
180 | 180 ml  3/4 tasse d'houmous @ QUANTITY
ml | 180 ml  3/4 tasse d'houmous @ UNIT
 | 180 ml  3/4 tasse d'houmous @ NONE
3/4 | 180 ml  3/4 tasse d'houmous @ NONE
tasse | 180 ml  3/4 tasse d'houmous @ NONE
d' | 180 ml  3/4 tasse d'houmous @ NONE
houmous | 180 ml  3/4 tasse d'houmous @ INGREDIENT
15 | 15 ml  1 c. a soupe de jus de citron @ QUANTITY
ml | 15 ml  1 c. a soupe de jus de citron @ UNIT
 | 15 ml  1 c. a soupe de jus de citron @ NONE
1 | 15 ml  1 c. a soupe de jus de citron @ NONE
c. | 15 ml  1 c. a soupe de jus de citron @ NONE
a | 15 ml  1 c. a soupe de jus de citron @ NONE
soupe | 15 ml  1 c. a soupe de jus de citron @ NONE
de | 15 ml  1 c. a soupe de jus de citron @ NONE
jus | 15 ml  1 c. a soupe de jus de citron @ NONE
de | 15 ml  1 c. a soupe de jus de citron @ NONE
citron | 15 ml  1 c. a soupe de jus de citron @ INGREDIENT
4 | 4  pains pitas, chacun coupes en deux @ QUANTITY
 | 4  pains pitas, chacun coupes en deux @ NONE
pains | 4  pains pitas, chacun coupes en deux @ INGREDIENT
pitas | 4  pains pitas, chacun coupes en deux @ INGREDIENT
chacun | 4  pains pitas, chacun coupes en deux @ NONE
coupes | 4  pains pitas, chacun coupes en deux @ NONE
en | 4  pains pitas, chacun coupes en deux @ NONE
deux | 4  pains pitas, chacun coupes en deux @ NONE
 | 4  pains pitas, chacun coupes en deux @ NONE
200 | 200 g  4 tasses de laitue emincee @ QUANTITY
g | 200 g  4 tasses de laitue emincee @ UNIT
 | 200 g  4 tasses de laitue emincee @ NONE
4 | 200 g  4 tasses de laitue emincee @ NONE
tasses | 200 g  4 tasses de laitue emincee @ NONE
de | 200 g  4 tasses de laitue emincee @ NONE
laitue | 200 g  4 tasses de laitue emincee @ INGREDIENT
emincee | 200 g  4 tasses de laitue emincee @ NONE
 | 200 g  4 tasses de laitue emincee @ NONE
2 | 2  concombres libanais, coupes en rubans @ QUANTITY
 | 2  concombres libanais, coupes en rubans @ NONE
concombres | 2  concombres libanais, coupes en rubans @ INGREDIENT
libanais, | 2  concombres libanais, coupes en rubans @ INGREDIENT
coupes | 2  concombres libanais, coupes en rubans @ NONE
en | 2  concombres libanais, coupes en rubans @ NONE
rubans | 2  concombres libanais, coupes en rubans @ NONE
1 | 1 kg de tomate @ QUANTITY
kg | 1 kg de tomate @ UNIT
de | 1 kg de tomate @ NONE
tomate | 1 kg de tomate @ INGREDIENT
3 | 3 poivrons verts @ QUANTITY
poivrons | 3 poivrons verts @ INGREDIENT
verts | 3 poivrons verts @ INGREDIENT
2 | 2 branches de basilic @ QUANTITY
branches | 2 branches de basilic @ NONE
de | 2 branches de basilic @ NONE
basilic | 2 branches de basilic @ INGREDIENT
1 | 1 poireaux @ QUANTITY
poireaux | 1 poireaux @ INGREDIENT
3 | 3 oignons @ QUANTITY
oignons | 3 oignons @ INGREDIENT
3 | 3 gousses d'ail @ QUANTITY
gousses | 3 gousses d'ail @ NONE
d' | 3 gousses d'ail @ NONE
ail | 3 gousses d'ail @ INGREDIENT
1/2 | 1/2 verres d'huile d'olive @ QUANTITY
verres | 1/2 verres d'huile d'olive @ UNIT
d'| 1/2 verres d'huile d'olive @ NONE
huile | 1/2 verres d'huile d'olive @ INGREDIENT
d' | 1/2 verres d'huile d'olive @ NONE
olive | 1/2 verres d'huile d'olive @ NONE
1/2 | 1/2 cuilleres a cafe de celeri @ QUANTITY
cuilleres | 1/2 cuilleres a cafe de celeri @ UNIT
a | 1/2 cuilleres a cafe de celeri @ UNIT
cafe | 1/2 cuilleres a cafe de celeri @ UNIT
de | 1/2 cuilleres a cafe de celeri @ NONE
celeri | 1/2 cuilleres a cafe de celeri @ INGREDIENT
1 | 1 cuilleres a cafe de curcuma @ QUANTITY
cuilleres | 1 cuilleres a cafe de curcuma @ UNIT
a | 1 cuilleres a cafe de curcuma @ UNIT
cafe | 1 cuilleres a cafe de curcuma @ UNIT
de | 1 cuilleres a cafe de curcuma @ NONE
curcuma | 1 cuilleres a cafe de curcuma @ INGREDIENT
6 | 6 lieu noir @ QUANTITY
lieu | 6 lieu noir @ INGREDIENT
noir | 6 lieu noir @ INGREDIENT
1 | 1 citrons @ QUANTITY
citrons | 1 citrons @ INGREDIENT
sel | sel @ INGREDIENT
1 | 1 cuilleres a cafe de poivre blanc @ QUANTITY
cuilleres | 1 cuilleres a cafe de poivre blanc @ UNIT
a | 1 cuilleres a cafe de poivre blanc @ UNIT
cafe | 1 cuilleres a cafe de poivre blanc @ UNIT
de | 1 cuilleres a cafe de poivre blanc @ NONE
poivre | 1 cuilleres a cafe de poivre blanc @ INGREDIENT
blanc | 1 cuilleres a cafe de poivre blanc @ INGREDIENT
1 | 1 bulbe de fenouil, coupe en des @ QUANTITY
bulbe | 1 bulbe de fenouil, coupe en des @ NONE
de | 1 bulbe de fenouil, coupe en des @ NONE
fenouil, | 1 bulbe de fenouil, coupe en des @ INGREDIENT
coupe | 1 bulbe de fenouil, coupe en des @ NONE
en | 1 bulbe de fenouil, coupe en des @ NONE
des | 1 bulbe de fenouil, coupe en des @ NONE
 | 1 bulbe de fenouil, coupe en des @ NONE
1 | 1 oignon, hache @ QUANTITY
oignon, | 1 oignon, hache @ INGREDIENT
hache | 1 oignon, hache @ NONE
30 | 30 ml 2 c. a soupe d'huile d'olive @ QUANTITY
ml | 30 ml 2 c. a soupe d'huile d'olive @ UNIT
2 | 30 ml 2 c. a soupe d'huile d'olive @ NONE
c. | 30 ml 2 c. a soupe d'huile d'olive @ NONE
a | 30 ml 2 c. a soupe d'huile d'olive @ NONE
soupe | 30 ml 2 c. a soupe d'huile d'olive @ NONE
d' | 30 ml 2 c. a soupe d'huile d'olive @ NONE
huile | 30 ml 2 c. a soupe d'huile d'olive @ INGREDIENT
d' | 30 ml 2 c. a soupe d'huile d'olive @ NONE
olive | 30 ml 2 c. a soupe d'huile d'olive @ NONE
2 | 2 poivrons, epepines et coupes en des @ QUANTITY
poivrons, | 2 poivrons, epepines et coupes en des @ INGREDIENT
epepines | 2 poivrons, epepines et coupes en des @ NONE
et | 2 poivrons, epepines et coupes en des @ NONE
coupes | 2 poivrons, epepines et coupes en des @ NONE
en | 2 poivrons, epepines et coupes en des @ NONE
des | 2 poivrons, epepines et coupes en des @ NONE
